population, health, health_decay_rate, mating_cooldown_seconds, reproduction_time_seconds, grow_into_adult_duration_seconds
85, 97.95294, 1.062725, 57.17647, 4.948827, 96.45882
92, 97.77174, 1.065891, 57.11956, 4.991327, 96.38043
95, 98.02105, 1.070629, 57.09474, 4.987523, 96.26316
93, 97.97849, 1.065617, 57.06452, 5.000322, 96.25806
96, 98.08334, 1.06608, 57.22917, 5.006957, 96.22916
98, 98.19388, 1.064732, 57.19388, 4.992711, 96.19388
98, 98.13265, 1.066696, 57.21429, 4.997498, 96.19388
93, 98.25806, 1.06296, 57.23656, 5.019788, 96.2043
91, 98.25275, 1.061916, 57.25275, 5.048943, 96.26373
89, 98.53933, 1.068097, 57.30337, 5.062388, 96.04494
89, 98.4382, 1.070373, 57.34832, 5.074529, 96.11236
86, 98.76744, 1.067448, 57.51163, 5.090227, 96.18604
87, 98.90804, 1.060339, 57.71264, 5.113573, 96.11494
86, 99.01163, 1.06104, 57.82558, 5.120607, 96.0814
84, 98.97619, 1.061867, 57.85714, 5.117037, 96.10714
83, 99.03615, 1.062621, 58.04819, 5.148092, 96.14458
84, 99.14286, 1.070974, 57.79762, 5.141744, 96.02381
81, 99.19753, 1.070565, 57.82716, 5.13903, 95.8642
84, 99.22619, 1.075206, 57.53571, 5.106963, 95.89286
85, 99.30589, 1.074321, 57.41177, 5.092491, 95.91765
85, 99.25883, 1.07804, 57.42353, 5.078927, 95.92941
86, 99.2907, 1.077132, 57.61628, 5.126267, 95.83721
84, 99.11905, 1.063545, 57.45238, 5.118458, 96.15476
87, 99.39081, 1.064143, 57.51724, 5.136905, 96.02299
87, 99.54023, 1.062835, 57.81609, 5.145475, 95.89655
85, 99.32941, 1.059281, 57.91765, 5.147623, 95.85883
83, 99.44579, 1.059069, 57.81928, 5.140456, 95.90362
86, 99.5814, 1.053487, 57.7093, 5.160759, 95.95349
89, 99.64045, 1.064909, 57.41573, 5.172573, 95.73034
89, 99.98876, 1.068069, 57.08989, 5.143372, 95.73034
89, 100.0562, 1.071174, 56.92135, 5.159699, 95.82022
90, 100.0667, 1.074533, 57.06667, 5.130871, 95.58889
90, 100.1222, 1.069614, 57.11111, 5.131732, 95.58889
94, 100.1915, 1.076232, 56.93617, 5.122871, 95.65958
92, 100.2717, 1.075503, 56.8913, 5.110434, 95.68478
94, 100.2872, 1.080529, 56.70213, 5.093536, 95.7766
93, 100.2258, 1.079128, 56.73118, 5.086646, 95.89247
95, 100.3579, 1.084118, 56.47368, 5.107351, 95.82105
97, 100.3093, 1.083053, 56.41237, 5.121397, 95.82475
93, 100.5484, 1.082003, 56.12903, 5.126529, 95.94624
91, 100.4835, 1.082418, 56.16484, 5.092978, 95.59341
90, 100.4222, 1.082911, 56.08889, 5.085649, 95.61111
87, 100.7471, 1.077, 55.74713, 5.045457, 95.24138
85, 101.2, 1.075457, 55.91765, 5.052791, 95.1647
82, 101.0976, 1.076719, 56.37805, 5.055601, 95.40244
76, 100.9474, 1.072704, 56.61842, 5.027833, 95.55264
69, 100.7391, 1.072107, 56.85507, 5.067339, 95.46377
65, 100.7077, 1.069572, 56.81538, 5.049767, 95.50769
64, 100.8125, 1.069893, 56.71875, 5.036584, 95.4375
58, 101.0345, 1.07044, 56.81034, 5.020731, 95.34483
57, 100.7544, 1.075949, 56.85965, 5.030665, 95.33334
55, 100.7636, 1.078711, 57, 5.015488, 95.21819
57, 100.2105, 1.090415, 56.7193, 5.052869, 95.35088
55, 100.5818, 1.095586, 56.32727, 5.035093, 95.56364
54, 100.5185, 1.097356, 56.2037, 5.058478, 95.61111
56, 100.4821, 1.087422, 56.42857, 5.005186, 95.76786
59, 100.1356, 1.079461, 56.38983, 5.011745, 95.69492
54, 99.7963, 1.066875, 56.64815, 4.960834, 95.48148
54, 99.7963, 1.066875, 56.64815, 4.960834, 95.48148
54, 99.92593, 1.064548, 56.33333, 4.957506, 95.22222
53, 99.83018, 1.060192, 56.35849, 4.911189, 94.96227
50, 99.9, 1.04513, 56.72, 4.924069, 95.3
47, 100.0851, 1.045349, 56.65957, 4.954293, 95.19149
45, 99.75555, 1.048675, 56.6, 5.017268, 95.17778
42, 100, 1.044926, 56.95238, 5.002098, 95.09524
36, 100.4444, 1.044209, 57, 5.045121, 94.97222
32, 100.4063, 1.046867, 57.09375, 4.987196, 95.1875
31, 100.7097, 1.048379, 56.80645, 4.972934, 95.25806
28, 100.1071, 1.023853, 56.42857, 4.951379, 95.28571
27, 99.88889, 1.029771, 56.48148, 5.017254, 95.33334
23, 100.2174, 1.047435, 56.69565, 4.936968, 95.65218
19, 100.6316, 1.048868, 56.94737, 5.041654, 95.63158
17, 99.82353, 1.0526, 57.11765, 5.029215, 95.58823
14, 100.0714, 1.044863, 57.21429, 5.021751, 95
11, 100, 1.057099, 56.36364, 5.078835, 94.09091
10, 99.7, 1.059347, 57.5, 5.091208, 94.9
10, 99.7, 1.059347, 57.5, 5.091208, 94.9
5, 100.6, 1.091508, 56.2, 4.488005, 94.2
4, 100, 1.042585, 57.75, 4.616637, 96.25
3, 98.66666, 1.056781, 61.33333, 4.670938, 95
3, 98.66666, 1.056781, 61.33333, 4.670938, 95
3, 98.66666, 1.056781, 61.33333, 4.670938, 95
3, 98.66666, 1.056781, 61.33333, 4.670938, 95
2, 97, 1.085171, 64.5, 4.10549, 94
2, 97, 1.085171, 64.5, 4.10549, 94
2, 97, 1.085171, 64.5, 4.10549, 94
2, 97, 1.085171, 64.5, 4.10549, 94
2, 97, 1.085171, 64.5, 4.10549, 94
2, 97, 1.085171, 64.5, 4.10549, 94
2, 97, 1.085171, 64.5, 4.10549, 94
2, 97, 1.085171, 64.5, 4.10549, 94
2, 97, 1.085171, 64.5, 4.10549, 94
2, 97, 1.085171, 64.5, 4.10549, 94
2, 97, 1.085171, 64.5, 4.10549, 94
2, 97, 1.085171, 64.5, 4.10549, 94
2, 97, 1.085171, 64.5, 4.10549, 94
2, 97, 1.085171, 64.5, 4.10549, 94
2, 97, 1.085171, 64.5, 4.10549, 94
2, 97, 1.085171, 64.5, 4.10549, 94
2, 97, 1.085171, 64.5, 4.10549, 94
2, 97, 1.085171, 64.5, 4.10549, 94
2, 97, 1.085171, 64.5, 4.10549, 94
2, 97, 1.085171, 64.5, 4.10549, 94
2, 97, 1.085171, 64.5, 4.10549, 94
2, 97, 1.085171, 64.5, 4.10549, 94
2, 97, 1.085171, 64.5, 4.10549, 94
2, 97, 1.085171, 64.5, 4.10549, 94
2, 97, 1.085171, 64.5, 4.10549, 94
2, 97, 1.085171, 64.5, 4.10549, 94
2, 97, 1.085171, 64.5, 4.10549, 94
2, 97, 1.085171, 64.5, 4.10549, 94
2, 97, 1.085171, 64.5, 4.10549, 94
2, 97, 1.085171, 64.5, 4.10549, 94
2, 97, 1.085171, 64.5, 4.10549, 94
2, 97, 1.085171, 64.5, 4.10549, 94
2, 97, 1.085171, 64.5, 4.10549, 94
2, 97, 1.085171, 64.5, 4.10549, 94
2, 97, 1.085171, 64.5, 4.10549, 94
2, 97, 1.085171, 64.5, 4.10549, 94
2, 97, 1.085171, 64.5, 4.10549, 94
2, 97, 1.085171, 64.5, 4.10549, 94
2, 97, 1.085171, 64.5, 4.10549, 94
2, 97, 1.085171, 64.5, 4.10549, 94
2, 97, 1.085171, 64.5, 4.10549, 94
2, 97, 1.085171, 64.5, 4.10549, 94
2, 97, 1.085171, 64.5, 4.10549, 94
2, 97, 1.085171, 64.5, 4.10549, 94
2, 97, 1.085171, 64.5, 4.10549, 94
2, 97, 1.085171, 64.5, 4.10549, 94
2, 97, 1.085171, 64.5, 4.10549, 94
